index,type,line
137,false,oh the stats increased with the coins will be reset after the scenario is over so be careful it is like throwing away coins into the air hahaha
138,true,once the appropriate number of people enters the foothold BLANK can be activated in 0 seconds
139,true,automatic interpretation has started
140,true,some constellations are greatly affected by the truth of the filtering
141,false,crazy bastard the dokkaebis of chungmuro are freaking out because of you
142,false,additional compensation for the key contributors will be given this evening thank you for all your hard work i hope you cheer up in the following scenarios
143,false,it would be better to think again
144,true,your understanding of the character is significant you can select some of his skills to import
145,false,what is it calling me so suddenly
146,false,the soup it can make you an sssgrade hunter
147,false,of course it is a symbolic body my true body isnt something that a human like you can withstand
148,true,the skill can only be used by a BLANK
149,false,fortunately my earnest appeal was taken into consideration ive analyzed the entire scenario and found that you only used a few skills it isnt enough to destroy the ecology of the scenarios
150,false,follow along this path
151,true,the character blank is on guard against you
152,true,those who are hostile to disasters will lose the right to be a disaster
153,true,you have entered theatre dungeon
154,true,the exclusive skill BLANK has protected you
155,true,a hidden piece is activated
156,true,the constellation BLANK is looking back
157,false,we will watch you king of the world without kings
158,true,currently collecting information about the corresponding figure
159,true,the exclusive skill fourth wall has been completely restored
160,true,many constellations are questioning your judgment
161,false,shut up
162,true,the constellation BLANK is greatly shocked by the appearance of the underworld
163,false,they are like this
164,true,0 coins have been earned as additional compensation
165,false,perhapswere you aware of it no thats impossible if i could read his thoughts then thats what he would be thinking
166,true,the product search function is activated
167,false,im sorry everyone there was a bit of friction and the compensation was late it is late but i will now reward you
168,true,a constellation who doesnt like the fun to be spoiled is listening to you
169,false,you what on earth
170,true,stream contract agreement
171,true,the blank has triggered the blank skill
172,true,the constellation BLANK is cheering for you
173,true,you have enough karma points to use the privilege
174,true,a few constellations laugh at your humanity
175,true,paid settlement will begin
176,true,a sub scenario is in progress to supplement the interlude
177,true,the constellation blank is looking angrily at your actions
178,true,sponsor selection has ended
179,true,the constellation blank expects your fairness
180,true,the constellation hwarang knows no retreat is in a hurry
181,true,the surrounding earth is filled with black ether
182,true,your physique level has risen
183,false,everyone here please calm down why are you still fighting lets see youve met the qualifications
184,true,you have acquired a star relic
185,true,the constellation BLANK asks if you really want to move channels
186,true,the constellation blank pulls his hair as if he is pleased
187,true,the exclusive skill blank is activated
188,true,BLANK has been added to the fifth bookmark
189,true,exclusive skill omniscient readers viewpoint has been activated
190,true,the sub scenario has been updated
191,true,the power that controlled your movements has disappeared
192,true,threaten doesnt work because the overall capabilities gap is too big
193,false,buy it now a starter pack for your incarnation for 0 coins
194,true,the sponsor behind lee jihye agrees with your wisdom
195,false,from now on i will double the bounty on the disaster
196,true,the constellation blank likes your recklessness
197,true,the constellation BLANK is looking at you with excited eyes
198,false,it is the story that is the favourite food of all constellations
199,false,it yes it isnt unrelated i got a warning from the administration bureau because the advertisement went on for too long
200,true,some constellations are nodding
201,true,the character blank has a favourable impression of you
202,false,the warp crystal is activated
203,true,you have become the BLANK of chungmuro
204,false,i shall respect your will
205,true,the shield effect of the brown flag is activated
206,true,the maitreya king cha sangkyung is out of combat
207,true,the small planets constellation is looking at you with hurt eyes
208,true,dongmyo stations deputy lee sungkook has sworn on the kings honour
209,true,the level of the character is too high to fully reproduce the skill level
210,false,i cant allow it
211,false,prepare for compensation do i have to tell you twice
212,false,this scenario there are those who have already gone to the sixth scenario due to the dimension warping in the fifth scenario becoming twisted
213,Unknown,the contract has been completed
214,false,by the way arent you being too greedy as the old saying goes you should share the beans
215,false,we were trying to monitor someone else he carries the wheel of a giant destiny on his back and destroys the probability a singularity is such a person
216,false,dokkaebi bihyung he is a very good dokkaebi look at his humility he has the integrity of a streamer who ignores everything and immerses himself in the scenarios it is different from you and the dokkaebis who only wear luxurious clothing
217,true,the constellation blank is looking at you like you are crazy
218,true,the constellation BLANK is silent
219,false,it might be a scenario error but i am removing two of the existing spots for fairness
220,true,the character blank has received a new stigma
221,true,excessive immersion leads to a profound increase in the proficiency of omniscient readers viewpoint
222,true,the blank is embarrassed
223,true,the remaining members of the dongmyo group are waiting for your decision
224,true,some constellations dislike the burning of the sweet potatoes
225,false,my channel
226,true,the dokkaebi blank has used blank on you
227,true,constellations are complaining about the long advertisement
228,false,yes
229,false,death is the end of the story just as a cow that has become a steak cant revive the dead cant revive their story is finished
230,true,final blow han myungoh
231,true,absolute shield will be released
232,true,you have endured chungmuros night without the green zone
233,false,do you know what i am going to say
234,false,now part of the disaster penalty is lifted if you choose the path of BLANK you can get additional buffs
235,true,the character blank has prepared blank
236,false,he hehe then everyone you cant yyou have to think about how to break the scenario
237,false,the king is uncomfortable with your sudden visit thats why i thought it would be better for me to talk to you
238,true,the time limit for the bounty scenario has expired
239,true,the scenario activation conditions havent been met yet
240,false,haha this is a hit bihyung laughed behind his small fingers the surrounding atmosphere was changing i dont know how you know about such things but to think that some human dares to mention the stream contract moreover it is a trivial bug with no sponsor as his tone changed the surrounding air was filled with killing intent indeed even a lowlevel dokkaebi was strong compared to humans however it wasnt enough to make me back off
241,false,hahaha there are 0 minutes left
242,false,cheekyworms
243,false,constellations wwhy are you suddenly leaving ddont go just wait a little longer
244,true,you have sponsored the BLANK to the incarnation BLANK
245,false,sheesh you knew
246,false,no what is this
247,true,the number two bookmark has been activated
248,true,nonviolent zone has 0 seconds left
249,true,the constellation BLANK reluctantly nods
250,true,the blank has been killed for the first time
251,true,this restriction is a BLANK restriction
252,false,please keep this in mind if this world is destroyed it is all because of you
253,true,the bullets damage will increase by 0
254,false,shut up you dare
255,true,if he breaks this vow lee sungkook can be punished by you
256,true,the constellation BLANK respects your will
257,false,what bbut this is the industrys default settlement ratio
258,false,weird people are chasing after you the monkey king and archangel it is strange they have a strong pride
259,true,the BLANK has ended
260,true,the 0th grade demon blank has been killed and the demon king blank has noticed the murderers presence
261,false,history is recorded in order to not repeat mistakes make sure you dont repeat the past for the sake of individual success
262,true,someone has dealt with the disaster of ice that came from the west
263,true,the small planets constellation is looking at you with pathetic eyes
264,true,some constellations are greatly affected by your choice
265,true,the character han sooyoung has confirmed that the statement is false
266,true,the character blank wants to practice justice of his own will
267,false,by the way i forgottwo more scenarios are recommended you are really great it seems that i will soon be able to upgrade my channel level
268,false,yes i wasnt certain but i became convinced after this scenario well lets try it once i can help you a little bit
269,true,the backer of song minwoo is looking at you
270,false,i can already hear your resentment how the hell can you kill an sssgrade haha there is no need to worry this guy currently has a penalty on him his powers are sealed he is strong but he is a treasure chest if you hit him all at once
271,true,the character blank has used the blank skill
272,false,how about 0 instead ill get rid of my channel fee ah do you know how to calculate it i will accurately divide your future donations in this ratio for example if you get 0 coins you will receive 0 coins and i will receive 0 coins
273,true,the information of this person cant be read in BLANK
274,false,you will still be with me at that time right
275,true,the number of remaining kings has been reduced
276,false,you a puppet of the moment will never understand remember once the time comes if you arent standing on the right side
277,true,the character BLANK has used giant body transformation lv 0
278,true,the level of the skill being activated is forcibly adjusted
279,true,you have met the conditions to clear the bounty scenario
280,true,the constellation BLANK is licking her lips
281,true,the constellation BLANK is looking at your reaction
282,true,you have won against a BLANK for the first time in the scenario
283,true,the monster has started to run wild
284,false,cconstellations didnt you agree with my development
285,false,ah this is really i knew this would happen didnt i saw it earlier i told you not to go anywhere damn the scenario isnt ready yet
286,true,the stigma blank has been acquired
287,true,a constellation who doesnt like the fun to be spoiled is interested in your proposal
288,true,the constellation BLANK is very embarrassed
289,false,huhu everyone is fighting well great constellations are you desperate i see the incarnations and constellations should work hard does everyone want to go up another narrative class
290,true,the exclusive skill BLANK has been activated
291,true,0 volumes of revelation  sssssgrade infinite regressor have been sold on the exchange
292,true,you must first take the target station to be qualified for the BLANK
293,true,constellations of the great battlefields praise your will
294,false,what are you doing now
295,true,0 coins have been invested in agility
296,true,your BLANK has broken through the limits of a human
297,true,the sgrade ganpyeongui has one more use
298,true,the item BLANK has been sold for 0 coins
299,true,the exclusive skill BLANK is shaking
300,true,the constellation BLANK feels a grudge towards you
301,true,you have a great impact on the evolution of prince lycaon of the imyuntar
302,true,you have entered the three person dungeon
303,true,the constellation BLANK is gulping
304,true,you have occupied changsin station
305,false,the scenario enforcement can only be used when the majority of constellations support the probability of the scenario
306,false,your task is to cut off the head of the snake
307,true,your new narrative is created
308,true,the constellation BLANK shows good intentions towards you
309,true,way of the wind lv 0 has been activated
310,true,the owner of the star relic is curious about you
311,true,the character BLANK has used hell flames ignition lv 0
312,true,you have received the BLANK
313,true,the constellation BLANK will judge your sincerity
314,false,then lets go back
315,false,the participants in this scenario are quite hasty there is still a week before the start of the scenario and people are already waking up a disaster are you curious about the next scenario
316,false,it is likely that you cant afford it
317,false,good then lets have a sweet rewards time
318,true,the number of available random item boxes is 0
319,false,it is simple occupy the green zone before other people of course you can take away the green zone of others by the way you should hurry if you dont have a green zone after the scenario starts you will have a terrible experience haha then everyone should try it
320,true,a blank has been acquired
321,false,now this boy you are seeing is an sssgrade item walking around are you looking at him from head to toe his name is myung ilsang he was fortunate enough to be picked by the star stream to go to another world can you imagine it imagine being summoned to another dimension suddenly receiving a powerful strength spending a hot night with a cute elf girlfriend saving the world and being loved as a warrior thats right this damn guy is the BLANK you have to catch today
322,false,there is a product search button in the lower right corner
323,true,you have purchased two aintern temples purification water
324,true,the compensation settlement will begin
325,true,the constellation BLANK is chuckling
326,false,this is the third proof
327,true,a few constellations are impressed with your good deed
328,false,great demons eyes it was a huge one million coin item that was taken by this woman with a damn diamond sponsor i felt envious
329,true,a sword type item will be awarded for putting in the same type of items
330,true,many constellations are wary of your intentions
331,true,compensation settlement is delayed due to an unexpected scenario check please wait
332,false,wait a minute im really sorry but i have an emergency announcement
333,true,the exclusive skill BLANK is shaking violently
334,false,now now dont act like that dont you know i go after the first person who complains the fourth main scenario has to do with the other stations a fairly exciting story is waiting for you im sure you will be satisfied
335,true,the constellation blank is satisfied
336,false,you know me quite well incarnation of the scenario then ill say this get lost i wont tell you a third time
337,true,your body size has reduced
338,true,0 coins have been invested in magic power
339,true,many constellations think it is ridiculous
340,true,the constellation BLANK likes your companionship
341,false,i will warn you in advance im not like the low level dokkaebis dont think that flimsy tricks will work on me
342,true,the constellation BLANK is somewhat annoyed
343,false,you will be given a worse punishment than destruction our bureau received a large probability debt because of you
344,true,hostile acts against a disaster have been detected
345,true,the character blank has used recovery lv 0
346,true,fourth wall has blocked the bluff of the character bang cheolsoo
347,true,the character BLANK has triggered BLANK lv 0
348,true,main scenario 0  proof of value has ended
349,true,the exclusive skill slot has been activated
350,true,exclusive skill omniscient readers viewpoint has been turned off
351,true,the constellation blank is sorry for lee jihye
352,true,currently occupied chungmuro main base myeongdong dongdaemun history and culture park
353,true,blade of faith is activated
354,true,an early hatching has weakened the disaster of questions
355,true,the constellation who likes harems is cheering on you and han sooyoung
356,true,the fifth main scenario is activated
357,true,you have accurately read the thoughts of character blank
358,true,your physique level has increased dramatically
359,true,group members lee sungkook and jung minseob have restrictions on their behaviour
360,true,the blank has triggered mental erosion
361,false,they are really excited the filtering limit has started to unravel there are those who gave it as gifts to their incarnations but if you do this you will receive attention again will you be okay and if you release all the information you know wont it go against you
362,true,the constellation BLANK has jumped and changed her expression
363,true,you have occupied myeongdong station
364,true,the character blank is using blank
365,true,the target has agreed to communicate with you
366,true,the constellation BLANK is blushing at your companionship
367,true,many constellationsBLANKomen
368,true,this information cant be revealed to protect the privacy of the incarnation
369,true,she will persistently monitor your justice in the future
370,false,hahaha interesting very interesting
371,false,okay constellations now i will show you the story you have been waiting for
372,true,some constellations are touched to tears
373,true,contributor kim dokja yoo joonghyuk
374,true,the character BLANK is greatly disturbed
375,false,bihyung
376,true,dongui bogam  incomplete has conveyed the essence of oriental medicine to you
377,true,0 coins have been consumed as a penalty
378,true,the constellation BLANK shrugs like it is fine
379,true,the character blank is greatly disturbed
380,false,this is proof
381,true,the constellation king heungmu the great has sponsored you 0 coins
382,true,some of the probability constraints on the disaster have been lifted
383,true,if the flag is snatched in the next five minutes the timer will reset
384,true,the star stream has noticed your anomalous behavior
385,false,haha dont humans like this it doesnt mean anything keep reading
386,true,the constellation blank likes your impudence
387,true,the stigma BLANK has countered the effect of colonization
388,true,0th grade fire dragons core
389,true,you have accomplished the blank achievement at chungmuro station
390,false,i keep thinking this but you look delicious
391,true,the constellation BLANK looks at you with amazement
392,true,the character BLANK trusts you a little bit
393,true,a constellation wearing a straw mat has paused at your actions
394,true,there are three minutes to the end of the scenario
395,false,so why did you break the throne fool
396,true,a predators threat has slowed down your movements
397,true,the demonic people have woken up
398,false,i see i roughly understand dont worry the stars will honour your commitment but it is i kim yushin who will deal with gyebaek not you
399,false,the last phase cant be performed unless the previous phase is cleared properly did you think you could get away with it
400,true,the constellation BLANK is watching the situation with sweaty hands
401,false,interesting dont tell me
402,false,soul it is an outdated idea
403,true,the character blank feels a bit sullen
404,false,do you still want to proceed with the sync
405,true,the constellation korean empire invader is requesting help from the other constellations of japan
406,true,old gentlemans close combat suit
407,true,prepare the survival fee
408,true,the constellation BLANK will be watching you closely in the future
409,true,the exclusive skill BLANK has been released
410,false,the qualifications are complete
411,true,the land in the scenario area is deeply polluted
412,true,the ninth seal of the returnee BLANK has been released
413,true,your white flag has absorbed the cumulative achievements of the red flag
414,false,nno i cant be destroyed in this way executive
415,true,the 0th grade insect king titanoptera has appeared
416,true,the 0th grade outside species song minwoo has triggered BLANK
417,true,0 coins have been consumed
418,false,you do know that this wont change the disaster
419,true,you have failed to occupy the BLANK of the fourth scenario
420,true,some constellations reluctant towards you have become curious
421,true,subscenario  phantom prison has begun
422,true,you have met the conditions to clear the subscenario
423,false,ive heard that you act proudly in front of dokkaebis and today i have discovered that the rumour isnt false
424,true,you have become the sponsor of the incarnation BLANK
425,false,0 i cant concede any more
426,false,oh of course im sorry i made a mistake
427,true,many constellations are dissatisfied with the sudden advertisements
428,true,you have confirmed that the statement is false
429,true,agility enhancing ampoule
430,false,a world with no kings okay lets try it once i will see how well you can survive without a focal point
431,true,under the terms of the contract BLANK is activated
432,false,then from now on i will start the second sponsor selection
433,true,the dokkaebis of the star stream have determined you wont carry out the activities of a disaster
434,false,heok
435,false,what are you buying it
436,true,you have entered chungmuro
437,false,he will naturally come along as well
438,false,incarnation kim dokja you will be treated better than you imagined
439,true,the compensation for the exclusive skill omniscient readers viewpoint stage 0 is available
440,true,the constellation BLANK is watching the battlefield with sad eyes
441,true,due to the contract you have been given the right to command incarnation blank
442,true,the free service of planetary system 0 has been terminated
443,false,haha you are awake then take this
444,true,the probability that an item associated with this constellation will appear is greatly increased
445,true,the 0th grade outside species BLANK is searching the surroundings
446,true,you have exercised the right of the representative
447,true,the second scenario has arrived
448,true,many of the constellations want an exhilarating melee
449,false,what are you doing now waaah
450,false,the stone hog is a guy who mainly lives on the coast and feeds on small sea species they insert the thorn into the skin of the prey but i didnt think it would be used to plug up the openings for the digestive juices
451,true,the next main base is blank
452,false,the dokkaebi have left their positions so i will be here for this period haha now have you all eaten your fill you do know that this event cant be skipped right
453,false,does that mean i can eat it
454,true,the exclusive skill BLANK is strongly activated
455,true,some constellations think that your actions are ridiculous
456,false,what what now
457,true,there are currently five people who have left
458,true,a few constellations are doubting their eyes
459,true,the demon king BLANK will remember the one who dealt the final blow
460,true,the constellation blank wants an uprising
461,true,the constellation blank expects a fair judgment
462,true,specialized damage of BLANK is applied due to the influence of stage transformation
463,true,many constellations are curious about your choice
464,false,i understand that you feel like shit and hate these jerks since the world is destroyed you just want to live the way you want you are very courageous but you feel a sense of helplessness when you realize that this world is divided in two you feel disappointed when you realize that your constellation which was barely obtained after shaking your ass is inferior to the constellation of a successful person you feel angry about the unfair world im well aware
465,true,the main scenario BLANK has begun
466,false,you are really great there was a bright light in the darkness and bihyungs dim figure was floating in the air using the stone hogs thorn like this i never even thought about it constellations isnt it the same for you
467,false,no way the system cant have an error the scenario system is perfect
468,true,the remaining time has been decreased by 0 minutes
469,false,wwho the hell are you how does a human bihyungs horns shook it was a natural reaction after all an ordinary human couldnt know about the star stream system however i wasnt an ordinary human
470,true,mass destruction magic bullet
471,true,the constellation blank has dropped his stick at your strategy
472,false,if you dont do it then i will end it
473,true,the character blank has used demon slaying lv 0
474,false,please keep this in mind humans are BLANK by the time you get her back no one knows how much of her story will remain
475,false,ohu you have voted for a representative then lets start the game
476,true,the constellation BLANK is watching you with sad eyes
477,true,the bounty scenario is cleared
478,true,a small planets constellation has sponsored 0 coins to the incarnation BLANK
479,true,you can take one of the supporting roles skills
480,true,the character BLANK is seriously thinking about your proposal
481,true,intermediate dokkaebi BLANK from now on you will be led to the executive branch you will remain silent about all scenarios and be deprived of all progress in the main scenarios
482,true,the character blank has used the stigma blank
483,true,the constellation BLANK wants to give you his own stigma
484,true,the wastes of your flesh have been completely removed and the performance of your body has increased
485,true,the constellation blank is wondering about your heart
486,true,purest sword force lv 0 > purest sword force lv 0
487,false,start what will
488,true,the privilege of the king of no killing has been completed
489,true,constellations of the korean peninsula are angry at the atrocities of japan
490,true,the character BLANK will follow your will
491,false,yes this small piece of meat it is the soul that humans believe in
492,false,memories no to be more precise
493,false,as expected the 0rd quota players of japan dome are hot from the beginning i hope you will make a lot of coins on peace land
494,true,the number five bookmark has been activated
495,true,the character yoo joonghyuk is currently using recovery hibernation lv 0
496,true,the constellation BLANK will reject your offer
497,true,the constellation blank admires how easy you are to trick
498,true,the constellation blank is greatly displeased at your choice
499,true,your karma points have increased by one
500,false,i will allow a solo meeting with the dokkaebi paul
501,true,the constellation blank is impressed with your sacrifice
502,true,numerical footholds are activated
503,true,the compensation effect of unbroken faith has increased physique to level 0
504,true,yamamoto hajimes synchronization has risen due to the scenario buff
505,true,you have invaded private property
506,false,after a while the requirements of the second qualifications will be revealed
507,true,the constellation blanks eyes are shining at your plan
508,true,a constellation who advocates neutral diplomacy has revealed his modifier
509,true,you have received 0 coins as a down payment
510,true,a constellation who doesnt like the fun to be spoiled is pleased with your wit
511,false,i forgot to mention that the number of people who can participate from seoul dome is 0 not 0
512,false,what that is ridiculous hhow about 0
513,false,aahh haha right
514,true,there is one minute left to complete the sponsor selection
515,true,the exclusive skill BLANK has been acquired
516,true,the great independence fighter promises to kill him if you give the constellation three bullets
517,false,warp crystal
518,true,a small planets constellation has sponsored 0 coins to kyrgios rodgraim
519,true,the information of this person cant be read in blank
520,true,0 coins have been reduced for the channel usage fee
521,true,coins
522,true,after a while the survival settlement will begin
523,true,the demon king blank will chase the one who dealt the finishing blow until they are dead
524,false,please choose a reward bihyung told me with a grouchy expression he was exhausted by the harassment
525,false,dont worry you wont be destroyed
526,true,the character blank has activated the stigma ghost fleet lv 0
527,true,your power has started to attract the attention of the giants
528,true,the stigma BLANK blocks the movement of you and people from certain countries
529,false,make a promise in the next sponsor selection you will choose kim yushin
530,false,you will die
531,true,the story BLANK has been added
532,true,bringing up the list of available bookmarks
533,true,supreme king yoo joonghyuk is out of combat
534,false,yes thats right what were you talking about
535,false,haha you are fucked now
536,true,the constellation BLANK is actively giving off annoyance
537,true,according to the scenario contract control of the BLANK has been transferred to the intermediate dokkaebi
538,false,you really
539,true,the hidden scenario compensation settlement will be delayed
540,true,the constellation BLANK is satisfied
541,true,you have purchased one midday tryst
542,true,the harbin sniper will gain a 0 hit rate
543,true,the character shin yoosungs total stats has decreased
544,false,constellations looking at the screens do you have any idea
545,true,0 coins have been invested into blank
546,false,besides there are some loud guys in other areas the bureau is busy right now
547,false,there is one abnormally rapidly growing guy and the bureau cant touch him i think his sponsor is probably a formidable guy
548,true,broken faith has responded to your star energy
549,true,constellations of the absolute good system support your good deed
550,true,the constellation BLANK is thrilled with your actions
551,true,ancient assassins dagger
552,false,you speak very well but
553,true,the first blank has been reached
554,false,i want to do that but i wont be a dokkaebi if i dont give scenarios
555,true,tyrant trexs dna ampoule
556,false,please lend me your voice for a while
557,true,the brokerage fee was exempted due to the effect of the contract
558,true,BLANK is activated
559,false,you want to show me an interesting story if you succeed i will let you find the soul you want
560,true,the main scenario has started
561,false,it only applies in your time and space
562,false,sighi nearly fell down
563,true,the echo of the constellation connected through echo of the stars has disappeared
564,false,now now all of you relax in your seats and listen to me from now on i will tell you something very important
565,false,you are a hasty friend you dont have anyone to pass it onto yet
566,true,a constellation who loves gaundaos is pleased
567,true,some constellations are asking about the coin event
568,true,you are close to the conditions of use for the exclusive skill omniscient readers viewpoint lv 0
569,false,oh a surprising winner has appeared
570,true,you have experienced the first person protoganists point of view
571,true,your physical condition meets the requirements of a BLANK
572,true,the character BLANK has used the stigma detached force lv 0
573,false,ah it isnt a big deal
574,false,i am very excited to see what story that kid will show me
575,false,he actually had a chance to kill the poisoner and stop the disaster
576,true,the effect of BLANK has made your movements dull
577,true,the constellation BLANK is mocking the intermediate dokkaebi BLANK
578,true,the constellation BLANK thanks you for your good deed
579,true,green zone 0> green zone 0
580,true,the soul of an incarnation is walking in the world of the constellation
581,true,the absolute good constellations have agreed to the use of this skill
582,false,i see do you want to try it now
583,false,this situation is fun isnt it more exciting with resistance
584,true,the constellation blank likes your monologues
585,false,you endured it how do you have the protection of a higher being
586,false, ancient dragons heart  stock
587,false,everyone ive told you already this isnt a game like blank
588,true,a few constellations want you to take serious action
589,true,the constellation blank is interested in your choice
590,true,blank has appeared
591,false,money good a plant fibre that many humans mutually agree on
592,true,the exclusive skill BLANK has offset some of the pain
593,false,are you sure you want to take over the station
594,true,the character blank is about to evolve
595,true,congratulations you have become a platinum member of the dokkaebi bag
596,false,huh
597,true,you have entered a dangerous area
598,true,gir0 channel is active
599,true,you have encountered a creature from a different world for the first time in this scenario
600,true,the character BLANK has released armed zone lv 0
