type,line
true,a few constellations are paying attention to character yoo joonghyuks answer
true,there are 0 minutes remaining
true,the constellation blank is observing yoo joonghyuks loyalty
true,some constellations have withdrawn their support for you
true,all types of access to the carriage will be restricted until the scenario is complete
true,the constellation blank thinks that you are impudent
true,the first question has been resolved
false,are you going to be rude
true,the exclusive skill blank is in use
true,some constellations oppose the dokkaebis speech
false,cconstellations it is like this i dont know why it is here hhihihit broadcast end
true,list of participants no 0 0 i feel like dying 0 lets drop off no 0 0 get off no 0 a total of 0 people
true,a constellation wearing a straw mat is puzzled by your actions
false,you even know this information you are really amazing but even if you know this information you shouldnt arrogantly think that you understand everything
true,incarnation BLANK has entered a trance state
true,there are two minutes left to complete the sponsor selection
false,i have decided not to care about small things now and i can go back and forth to the administration bureau rather how do you know about the blank
true,you have recovered the brown flag
true,the disaster called BLANK has disappeared
true,the sponsor behind character BLANK has revealed himself
true,from now on the attack and defense of all items will be limited
true,the s grade four yin demonic beheading sword has evolved into the star relic BLANK
true,some constellations are in agreement
true,the constellation blank is impressed by your chivalrous spirit
true,the constellation blank is wondering about the contents of the contract
true,the constellation who likes murasama is urging you to proceed with the coin lottery
true,the twelfth seal of the returnee BLANK has been released
true,the 0th grade other world species BLANK has received great enlightenment
true,constellations of the korean peninsula are looking at you sadly
true,you are able to use the perks of the purple flag
true,the character blank has completely recovered his magic power
true,your understanding of the character blank has increased
false,am i your manager
true,the constellation BLANK respects your taste
false,insignificant human
false,character list and omniscient readers viewpoint i didnt know the precise use yet but i had a general sense of these skills this would work somehow
false,by the way in order to proceed with this scenario you have to perform another task first wont it be a mess if the number of people increases therefore you need a presence to lead you in other words there must be a station representative
true,the constellation blank is annoyed at these people
true,the 0st person supporting role viewpoint has been activated
false,what do these screens have in common
false,are you calling us
true,the constellation blank has swallowed his saliva
true,after one minute the positions of the footholds will be recreated
false,i can guess why the executives came here it is probably because i used the enforcement rights
true,the colony effect reduces your overall stats
true,the exclusive skill blank has been activated
true,the constellation blank has sponsored you 0 coins
false,i cant help this planet
false,hey cant you hear me what are you going to do now
true,the constellation blank misses his old friend when he sees blank
true,the constellation BLANK is grabbing his belly and laughing
true,constellations who hate violence and slaughter are going crazy
true,if they break the restrictions group members lee sungkook and jung minseob will die
true,the character blank has a slight decrease in favourability
true,the small planets constellation is silent
false,is that your second question
true,all the constellations of the korean peninsula are looking at you
false,wow you are quite good at surviving now now will any constellations help this poor friend it was the dokkaebis merchantlike voice
true,exclusive skill omniscient readers viewpoint lv 0 has been activated
false,haha according to the data the people of this country are very good at games so why dont i try raising the difficulty
true,the 0th grade monster BLANK has appeared
true,the constellation BLANK has sponsored you 0 coins
false,paul you had a chance to end the scenario without using the executive rights it was a fresh development i had never seen before why did you stop it thanks to your brutality an emergency was dropped on seoul domes bureau
true,the blank penalty will be maintained until the second main scenario is cleared
true,bi0 channel has closed temporarily
false,oh the stats increased with the coins will be reset after the scenario is over so be careful it is like throwing away coins into the air hahaha
true,once the appropriate number of people enters the foothold BLANK can be activated in 0 seconds
true,automatic interpretation has started
true,some constellations are greatly affected by the truth of the filtering
false,crazy bastard the dokkaebis of chungmuro are freaking out because of you
false,additional compensation for the key contributors will be given this evening thank you for all your hard work i hope you cheer up in the following scenarios
false,it would be better to think again
true,your understanding of the character is significant you can select some of his skills to import
false,what is it calling me so suddenly
false,the soup it can make you an sssgrade hunter
false,of course it is a symbolic body my true body isnt something that a human like you can withstand
true,the skill can only be used by a BLANK
false,fortunately my earnest appeal was taken into consideration ive analyzed the entire scenario and found that you only used a few skills it isnt enough to destroy the ecology of the scenarios
false,follow along this path
true,the character blank is on guard against you
true,those who are hostile to disasters will lose the right to be a disaster
true,you have entered theatre dungeon
true,the exclusive skill BLANK has protected you
true,a hidden piece is activated
true,the constellation BLANK is looking back
false,we will watch you king of the world without kings
true,currently collecting information about the corresponding figure
true,the exclusive skill fourth wall has been completely restored
true,many constellations are questioning your judgment
false,shut up
true,the constellation BLANK is greatly shocked by the appearance of the underworld
false,they are like this
true,0 coins have been earned as additional compensation
false,perhapswere you aware of it no thats impossible if i could read his thoughts then thats what he would be thinking
true,the product search function is activated
false,im sorry everyone there was a bit of friction and the compensation was late it is late but i will now reward you
true,a constellation who doesnt like the fun to be spoiled is listening to you
false,you what on earth
true,stream contract agreement
true,the blank has triggered the blank skill
true,the constellation BLANK is cheering for you
true,you have enough karma points to use the privilege
true,a few constellations laugh at your humanity
true,paid settlement will begin
true,a sub scenario is in progress to supplement the interlude
true,the constellation blank is looking angrily at your actions
true,sponsor selection has ended
true,the constellation blank expects your fairness
true,the constellation hwarang knows no retreat is in a hurry
true,the surrounding earth is filled with black ether
true,your physique level has risen
false,everyone here please calm down why are you still fighting lets see youve met the qualifications
true,you have acquired a star relic
true,the constellation BLANK asks if you really want to move channels
true,the constellation blank pulls his hair as if he is pleased
true,the exclusive skill blank is activated
true,BLANK has been added to the fifth bookmark
true,exclusive skill omniscient readers viewpoint has been activated
true,the sub scenario has been updated
true,the power that controlled your movements has disappeared
true,threaten doesnt work because the overall capabilities gap is too big
false,buy it now a starter pack for your incarnation for 0 coins
true,the sponsor behind lee jihye agrees with your wisdom
false,from now on i will double the bounty on the disaster
true,the constellation blank likes your recklessness
true,the constellation BLANK is looking at you with excited eyes
false,it is the story that is the favourite food of all constellations
false,it yes it isnt unrelated i got a warning from the administration bureau because the advertisement went on for too long
true,some constellations are nodding
true,the character blank has a favourable impression of you
false,the warp crystal is activated
true,you have become the BLANK of chungmuro
false,i shall respect your will
true,the shield effect of the brown flag is activated
true,the maitreya king cha sangkyung is out of combat
true,the small planets constellation is looking at you with hurt eyes
true,dongmyo stations deputy lee sungkook has sworn on the kings honour
true,the level of the character is too high to fully reproduce the skill level
false,i cant allow it
false,prepare for compensation do i have to tell you twice
false,this scenario there are those who have already gone to the sixth scenario due to the dimension warping in the fifth scenario becoming twisted
Unknown,the contract has been completed
false,by the way arent you being too greedy as the old saying goes you should share the beans
false,we were trying to monitor someone else he carries the wheel of a giant destiny on his back and destroys the probability a singularity is such a person
false,dokkaebi bihyung he is a very good dokkaebi look at his humility he has the integrity of a streamer who ignores everything and immerses himself in the scenarios it is different from you and the dokkaebis who only wear luxurious clothing
true,the constellation blank is looking at you like you are crazy
true,the constellation BLANK is silent
false,it might be a scenario error but i am removing two of the existing spots for fairness
true,the character blank has received a new stigma
true,excessive immersion leads to a profound increase in the proficiency of omniscient readers viewpoint
true,the blank is embarrassed
true,the remaining members of the dongmyo group are waiting for your decision
true,some constellations dislike the burning of the sweet potatoes
false,my channel
true,the dokkaebi blank has used blank on you
true,constellations are complaining about the long advertisement
false,yes
false,death is the end of the story just as a cow that has become a steak cant revive the dead cant revive their story is finished
true,final blow han myungoh
true,absolute shield will be released
true,you have endured chungmuros night without the green zone
false,do you know what i am going to say
false,now part of the disaster penalty is lifted if you choose the path of BLANK you can get additional buffs
true,the character blank has prepared blank
false,he hehe then everyone you cant yyou have to think about how to break the scenario
false,the king is uncomfortable with your sudden visit thats why i thought it would be better for me to talk to you
true,the time limit for the bounty scenario has expired
true,the scenario activation conditions havent been met yet
false,haha this is a hit bihyung laughed behind his small fingers the surrounding atmosphere was changing i dont know how you know about such things but to think that some human dares to mention the stream contract moreover it is a trivial bug with no sponsor as his tone changed the surrounding air was filled with killing intent indeed even a lowlevel dokkaebi was strong compared to humans however it wasnt enough to make me back off
false,hahaha there are 0 minutes left
false,cheekyworms
false,constellations wwhy are you suddenly leaving ddont go just wait a little longer
true,you have sponsored the BLANK to the incarnation BLANK
false,sheesh you knew
false,no what is this
true,the number two bookmark has been activated
true,nonviolent zone has 0 seconds left
true,the constellation BLANK reluctantly nods
true,the blank has been killed for the first time
true,this restriction is a BLANK restriction
false,please keep this in mind if this world is destroyed it is all because of you
true,the bullets damage will increase by 0
false,shut up you dare
true,if he breaks this vow lee sungkook can be punished by you
true,the constellation BLANK respects your will
false,what bbut this is the industrys default settlement ratio
false,weird people are chasing after you the monkey king and archangel it is strange they have a strong pride
true,the BLANK has ended
true,the 0th grade demon blank has been killed and the demon king blank has noticed the murderers presence
false,history is recorded in order to not repeat mistakes make sure you dont repeat the past for the sake of individual success
true,someone has dealt with the disaster of ice that came from the west
true,the small planets constellation is looking at you with pathetic eyes
true,some constellations are greatly affected by your choice
true,the character han sooyoung has confirmed that the statement is false
true,the character blank wants to practice justice of his own will
false,by the way i forgottwo more scenarios are recommended you are really great it seems that i will soon be able to upgrade my channel level
false,yes i wasnt certain but i became convinced after this scenario well lets try it once i can help you a little bit
true,the backer of song minwoo is looking at you
false,i can already hear your resentment how the hell can you kill an sssgrade haha there is no need to worry this guy currently has a penalty on him his powers are sealed he is strong but he is a treasure chest if you hit him all at once
true,the character blank has used the blank skill
false,how about 0 instead ill get rid of my channel fee ah do you know how to calculate it i will accurately divide your future donations in this ratio for example if you get 0 coins you will receive 0 coins and i will receive 0 coins
true,the information of this person cant be read in BLANK
false,you will still be with me at that time right
true,the number of remaining kings has been reduced
false,you a puppet of the moment will never understand remember once the time comes if you arent standing on the right side
true,the character BLANK has used giant body transformation lv 0
true,the level of the skill being activated is forcibly adjusted
true,you have met the conditions to clear the bounty scenario
true,the constellation BLANK is licking her lips
true,the constellation BLANK is looking at your reaction
true,you have won against a BLANK for the first time in the scenario
true,the monster has started to run wild
false,cconstellations didnt you agree with my development
false,ah this is really i knew this would happen didnt i saw it earlier i told you not to go anywhere damn the scenario isnt ready yet
true,the stigma blank has been acquired
true,a constellation who doesnt like the fun to be spoiled is interested in your proposal
true,the constellation BLANK is very embarrassed
false,huhu everyone is fighting well great constellations are you desperate i see the incarnations and constellations should work hard does everyone want to go up another narrative class
true,the exclusive skill BLANK has been activated
true,0 volumes of revelation  sssssgrade infinite regressor have been sold on the exchange
true,you must first take the target station to be qualified for the BLANK
true,constellations of the great battlefields praise your will
false,what are you doing now
true,0 coins have been invested in agility
true,your BLANK has broken through the limits of a human
true,the sgrade ganpyeongui has one more use
true,the item BLANK has been sold for 0 coins
true,the exclusive skill BLANK is shaking
true,the constellation BLANK feels a grudge towards you
true,you have a great impact on the evolution of prince lycaon of the imyuntar
true,you have entered the three person dungeon
true,the constellation BLANK is gulping
true,you have occupied changsin station
false,the scenario enforcement can only be used when the majority of constellations support the probability of the scenario
false,your task is to cut off the head of the snake
true,your new narrative is created
true,the constellation BLANK shows good intentions towards you
true,way of the wind lv 0 has been activated
true,the owner of the star relic is curious about you
true,the character BLANK has used hell flames ignition lv 0
true,you have received the BLANK
true,the constellation BLANK will judge your sincerity
false,then lets go back
false,the participants in this scenario are quite hasty there is still a week before the start of the scenario and people are already waking up a disaster are you curious about the next scenario
false,it is likely that you cant afford it
false,good then lets have a sweet rewards time
true,the number of available random item boxes is 0
false,it is simple occupy the green zone before other people of course you can take away the green zone of others by the way you should hurry if you dont have a green zone after the scenario starts you will have a terrible experience haha then everyone should try it
true,a blank has been acquired
false,now this boy you are seeing is an sssgrade item walking around are you looking at him from head to toe his name is myung ilsang he was fortunate enough to be picked by the star stream to go to another world can you imagine it imagine being summoned to another dimension suddenly receiving a powerful strength spending a hot night with a cute elf girlfriend saving the world and being loved as a warrior thats right this damn guy is the BLANK you have to catch today
false,there is a product search button in the lower right corner
true,you have purchased two aintern temples purification water
true,the compensation settlement will begin
true,the constellation BLANK is chuckling
false,this is the third proof
true,a few constellations are impressed with your good deed
false,great demons eyes it was a huge one million coin item that was taken by this woman with a damn diamond sponsor i felt envious
true,a sword type item will be awarded for putting in the same type of items
true,many constellations are wary of your intentions
true,compensation settlement is delayed due to an unexpected scenario check please wait
false,wait a minute im really sorry but i have an emergency announcement
true,the exclusive skill BLANK is shaking violently
false,now now dont act like that dont you know i go after the first person who complains the fourth main scenario has to do with the other stations a fairly exciting story is waiting for you im sure you will be satisfied
true,the constellation blank is satisfied
false,you know me quite well incarnation of the scenario then ill say this get lost i wont tell you a third time
true,your body size has reduced
true,0 coins have been invested in magic power
true,many constellations think it is ridiculous
true,the constellation BLANK likes your companionship
false,i will warn you in advance im not like the low level dokkaebis dont think that flimsy tricks will work on me
true,the constellation BLANK is somewhat annoyed
false,you will be given a worse punishment than destruction our bureau received a large probability debt because of you
true,hostile acts against a disaster have been detected
true,the character blank has used recovery lv 0
true,fourth wall has blocked the bluff of the character bang cheolsoo
true,the character BLANK has triggered BLANK lv 0
true,main scenario 0  proof of value has ended
true,the exclusive skill slot has been activated
true,exclusive skill omniscient readers viewpoint has been turned off
true,the constellation blank is sorry for lee jihye
true,currently occupied chungmuro main base myeongdong dongdaemun history and culture park
true,blade of faith is activated
true,an early hatching has weakened the disaster of questions
true,the constellation who likes harems is cheering on you and han sooyoung
true,the fifth main scenario is activated
true,you have accurately read the thoughts of character blank
true,your physique level has increased dramatically
true,group members lee sungkook and jung minseob have restrictions on their behaviour
true,the blank has triggered mental erosion
false,they are really excited the filtering limit has started to unravel there are those who gave it as gifts to their incarnations but if you do this you will receive attention again will you be okay and if you release all the information you know wont it go against you
true,the constellation BLANK has jumped and changed her expression
true,you have occupied myeongdong station
true,the character blank is using blank
true,the target has agreed to communicate with you
true,the constellation BLANK is blushing at your companionship
true,many constellationsBLANKomen
true,this information cant be revealed to protect the privacy of the incarnation
true,she will persistently monitor your justice in the future
false,hahaha interesting very interesting
false,okay constellations now i will show you the story you have been waiting for
true,some constellations are touched to tears
true,contributor kim dokja yoo joonghyuk
true,the character BLANK is greatly disturbed
false,bihyung
true,dongui bogam  incomplete has conveyed the essence of oriental medicine to you
true,0 coins have been consumed as a penalty
true,the constellation BLANK shrugs like it is fine
true,the character blank is greatly disturbed
false,this is proof
true,the constellation king heungmu the great has sponsored you 0 coins
true,some of the probability constraints on the disaster have been lifted
true,if the flag is snatched in the next five minutes the timer will reset
true,the star stream has noticed your anomalous behavior
false,haha dont humans like this it doesnt mean anything keep reading
true,the constellation blank likes your impudence
true,the stigma BLANK has countered the effect of colonization
true,0th grade fire dragons core
true,you have accomplished the blank achievement at chungmuro station
false,i keep thinking this but you look delicious
true,the constellation BLANK looks at you with amazement
true,the character BLANK trusts you a little bit
true,a constellation wearing a straw mat has paused at your actions
true,there are three minutes to the end of the scenario
false,so why did you break the throne fool
true,a predators threat has slowed down your movements
true,the demonic people have woken up
false,i see i roughly understand dont worry the stars will honour your commitment but it is i kim yushin who will deal with gyebaek not you
false,the last phase cant be performed unless the previous phase is cleared properly did you think you could get away with it
true,the constellation BLANK is watching the situation with sweaty hands
false,interesting dont tell me
false,soul it is an outdated idea
true,the character blank feels a bit sullen
false,do you still want to proceed with the sync
true,the constellation korean empire invader is requesting help from the other constellations of japan
true,old gentlemans close combat suit
true,prepare the survival fee
true,the constellation BLANK will be watching you closely in the future
true,the exclusive skill BLANK has been released
false,the qualifications are complete
true,the land in the scenario area is deeply polluted
true,the ninth seal of the returnee BLANK has been released
true,your white flag has absorbed the cumulative achievements of the red flag
false,nno i cant be destroyed in this way executive
true,the 0th grade insect king titanoptera has appeared
true,the 0th grade outside species song minwoo has triggered BLANK
true,0 coins have been consumed
false,you do know that this wont change the disaster
true,you have failed to occupy the BLANK of the fourth scenario
true,some constellations reluctant towards you have become curious
true,subscenario  phantom prison has begun
true,you have met the conditions to clear the subscenario
false,ive heard that you act proudly in front of dokkaebis and today i have discovered that the rumour isnt false
true,you have become the sponsor of the incarnation BLANK
false,0 i cant concede any more
false,oh of course im sorry i made a mistake
true,many constellations are dissatisfied with the sudden advertisements
true,you have confirmed that the statement is false
true,agility enhancing ampoule
false,a world with no kings okay lets try it once i will see how well you can survive without a focal point
true,under the terms of the contract BLANK is activated
false,then from now on i will start the second sponsor selection
true,the dokkaebis of the star stream have determined you wont carry out the activities of a disaster
false,heok
false,what are you buying it
true,you have entered chungmuro
false,he will naturally come along as well
false,incarnation kim dokja you will be treated better than you imagined
true,the compensation for the exclusive skill omniscient readers viewpoint stage 0 is available
true,the constellation BLANK is watching the battlefield with sad eyes
true,due to the contract you have been given the right to command incarnation blank
true,the free service of planetary system 0 has been terminated
false,haha you are awake then take this
true,the probability that an item associated with this constellation will appear is greatly increased
true,the 0th grade outside species BLANK is searching the surroundings
true,you have exercised the right of the representative
true,the second scenario has arrived
true,many of the constellations want an exhilarating melee
false,what are you doing now waaah
false,the stone hog is a guy who mainly lives on the coast and feeds on small sea species they insert the thorn into the skin of the prey but i didnt think it would be used to plug up the openings for the digestive juices
true,the next main base is blank
false,the dokkaebi have left their positions so i will be here for this period haha now have you all eaten your fill you do know that this event cant be skipped right
false,does that mean i can eat it
true,the exclusive skill BLANK is strongly activated
true,some constellations think that your actions are ridiculous
false,what what now
true,there are currently five people who have left
true,a few constellations are doubting their eyes
true,the demon king BLANK will remember the one who dealt the final blow
true,the constellation blank wants an uprising
true,the constellation blank expects a fair judgment
true,specialized damage of BLANK is applied due to the influence of stage transformation
true,many constellations are curious about your choice
false,i understand that you feel like shit and hate these jerks since the world is destroyed you just want to live the way you want you are very courageous but you feel a sense of helplessness when you realize that this world is divided in two you feel disappointed when you realize that your constellation which was barely obtained after shaking your ass is inferior to the constellation of a successful person you feel angry about the unfair world im well aware
true,the main scenario BLANK has begun
false,you are really great there was a bright light in the darkness and bihyungs dim figure was floating in the air using the stone hogs thorn like this i never even thought about it constellations isnt it the same for you
false,no way the system cant have an error the scenario system is perfect
true,the remaining time has been decreased by 0 minutes
false,wwho the hell are you how does a human bihyungs horns shook it was a natural reaction after all an ordinary human couldnt know about the star stream system however i wasnt an ordinary human
true,mass destruction magic bullet
true,the constellation blank has dropped his stick at your strategy
false,if you dont do it then i will end it
true,the character blank has used demon slaying lv 0
false,please keep this in mind humans are BLANK by the time you get her back no one knows how much of her story will remain
false,ohu you have voted for a representative then lets start the game
true,the constellation BLANK is watching you with sad eyes
true,the bounty scenario is cleared
true,a small planets constellation has sponsored 0 coins to the incarnation BLANK
true,you can take one of the supporting roles skills
true,the character BLANK is seriously thinking about your proposal
true,intermediate dokkaebi BLANK from now on you will be led to the executive branch you will remain silent about all scenarios and be deprived of all progress in the main scenarios
true,the character blank has used the stigma blank
true,the constellation BLANK wants to give you his own stigma
true,the wastes of your flesh have been completely removed and the performance of your body has increased
true,the constellation blank is wondering about your heart
true,purest sword force lv 0 > purest sword force lv 0
false,start what will
true,the privilege of the king of no killing has been completed
true,constellations of the korean peninsula are angry at the atrocities of japan
true,the character BLANK will follow your will
false,yes this small piece of meat it is the soul that humans believe in
false,memories no to be more precise
false,as expected the 0rd quota players of japan dome are hot from the beginning i hope you will make a lot of coins on peace land
true,the number five bookmark has been activated
true,the character yoo joonghyuk is currently using recovery hibernation lv 0
true,the constellation BLANK will reject your offer
true,the constellation blank admires how easy you are to trick
true,the constellation blank is greatly displeased at your choice
true,your karma points have increased by one
false,i will allow a solo meeting with the dokkaebi paul
true,the constellation blank is impressed with your sacrifice
true,numerical footholds are activated
true,the compensation effect of unbroken faith has increased physique to level 0
true,yamamoto hajimes synchronization has risen due to the scenario buff
true,you have invaded private property
false,after a while the requirements of the second qualifications will be revealed
true,the constellation blanks eyes are shining at your plan
true,a constellation who advocates neutral diplomacy has revealed his modifier
true,you have received 0 coins as a down payment
true,a constellation who doesnt like the fun to be spoiled is pleased with your wit
false,i forgot to mention that the number of people who can participate from seoul dome is 0 not 0
false,what that is ridiculous hhow about 0
false,aahh haha right
true,there is one minute left to complete the sponsor selection
true,the exclusive skill BLANK has been acquired
true,the great independence fighter promises to kill him if you give the constellation three bullets
false,warp crystal
true,a small planets constellation has sponsored 0 coins to kyrgios rodgraim
true,the information of this person cant be read in blank
true,0 coins have been reduced for the channel usage fee
true,coins
true,after a while the survival settlement will begin
true,the demon king blank will chase the one who dealt the finishing blow until they are dead
false,please choose a reward bihyung told me with a grouchy expression he was exhausted by the harassment
false,dont worry you wont be destroyed
true,the character blank has activated the stigma ghost fleet lv 0
true,your power has started to attract the attention of the giants
true,the stigma BLANK blocks the movement of you and people from certain countries
false,make a promise in the next sponsor selection you will choose kim yushin
false,you will die
true,the story BLANK has been added
true,bringing up the list of available bookmarks
true,supreme king yoo joonghyuk is out of combat
false,yes thats right what were you talking about
false,haha you are fucked now
true,the constellation BLANK is actively giving off annoyance
true,according to the scenario contract control of the BLANK has been transferred to the intermediate dokkaebi
false,you really
true,the hidden scenario compensation settlement will be delayed
true,the constellation BLANK is satisfied
true,you have purchased one midday tryst
true,the harbin sniper will gain a 0 hit rate
true,the character shin yoosungs total stats has decreased
false,constellations looking at the screens do you have any idea
true,0 coins have been invested into blank
false,besides there are some loud guys in other areas the bureau is busy right now
false,there is one abnormally rapidly growing guy and the bureau cant touch him i think his sponsor is probably a formidable guy
true,broken faith has responded to your star energy
true,constellations of the absolute good system support your good deed
true,the constellation BLANK is thrilled with your actions
true,ancient assassins dagger
false,you speak very well but
true,the first blank has been reached
false,i want to do that but i wont be a dokkaebi if i dont give scenarios
true,tyrant trexs dna ampoule
false,please lend me your voice for a while
true,the brokerage fee was exempted due to the effect of the contract
true,BLANK is activated
false,you want to show me an interesting story if you succeed i will let you find the soul you want
true,the main scenario has started
false,it only applies in your time and space
false,sighi nearly fell down
true,the echo of the constellation connected through echo of the stars has disappeared
false,now now all of you relax in your seats and listen to me from now on i will tell you something very important
false,you are a hasty friend you dont have anyone to pass it onto yet
true,a constellation who loves gaundaos is pleased
true,some constellations are asking about the coin event
true,you are close to the conditions of use for the exclusive skill omniscient readers viewpoint lv 0
false,oh a surprising winner has appeared
true,you have experienced the first person protoganists point of view
true,your physical condition meets the requirements of a BLANK
true,the character BLANK has used the stigma detached force lv 0
false,ah it isnt a big deal
false,i am very excited to see what story that kid will show me
false,he actually had a chance to kill the poisoner and stop the disaster
true,the effect of BLANK has made your movements dull
true,the constellation BLANK is mocking the intermediate dokkaebi BLANK
true,the constellation BLANK thanks you for your good deed
true,green zone 0> green zone 0
true,the soul of an incarnation is walking in the world of the constellation
true,the absolute good constellations have agreed to the use of this skill
false,i see do you want to try it now
false,this situation is fun isnt it more exciting with resistance
true,the constellation blank likes your monologues
false,you endured it how do you have the protection of a higher being
false, ancient dragons heart  stock
false,everyone ive told you already this isnt a game like blank
true,a few constellations want you to take serious action
true,the constellation blank is interested in your choice
true,blank has appeared
false,money good a plant fibre that many humans mutually agree on
true,the exclusive skill BLANK has offset some of the pain
false,are you sure you want to take over the station
true,the character blank is about to evolve
true,congratulations you have become a platinum member of the dokkaebi bag
false,huh
true,you have entered a dangerous area
true,gir0 channel is active
true,you have encountered a creature from a different world for the first time in this scenario
true,the character BLANK has released armed zone lv 0
false,it seems like a lie
true,the essence of oriental medicine is effective
true,all evolution conditions of the attribute blank have been met
false,it is to monitor the singularities of this world
false,hey are you crazy what did you do just now i was eating when i heard bihyungs voice furiously berating me
true,hunt the BLANK in 0 minutes otherwise the star stream will determine that you have no intention to carry out the activities of a disaster
true,you have received the second scenario penalty
true,the number one bookmark has been disabled
true,the character yoo joonghyuk has confirmed that your words are true
true,the constellation BLANK is howling
true,the constellation BLANK is making a loving smile
false,everyone you have been waiting a long time
false,did you enjoy the survival activities the scenario that you have been waiting for will finally begin there were some disruptions but yes well it will be a fun scenario to look forward to
true,there are three minutes left to complete the sponsor selection
true,incarnation prepare for the flooding of probabilities
true,the character blank has used bluff
true,external reinforced suit  replica agrade protective clothing
false,phew the debt is piling up during the time when you are noisy well yes rather than explain it a hundred times isnt it quicker for you to make money yourself
false,hmm everybody has confused expressions i can easily tell you right now you are incredibly weak if you are thrown into the scenarios that will take place you will be killed when you meet a weak ground rat let alone a blank benevolently there are some great people in the universe who pity you and would like to sponsor you do you understand what i am saying
true,in the future you will get the favour of the imyuntar people
false,well good this is the result now i am informing all incarnations of seoul just now a new owner of the absolute throne was born
true,the blank has triggered blank
false,you are a stubborn young man but it is the wrong choice how long can you endure
true,a handful of constellations are giggling and laughing
true,the character blank is suspicious of you
true,excessive immersion has severely worn out your mental strength
false,damn if i wasnt greedy at that time
true,the constellation BLANK is looking at you with a complicated gaze
false,do you know this person
true,agility lv 0 > agility lv 0
false,damn that bastard messed with my channel hahaha did you stay well while i was away
true,you have returned the sponsored 0 coins
true,there are two minutes to the end of the sub scenario
true,a small planets constellation is touching his chest
true,the small person transformation will begin
true,the constellation blank threatens the dokkaebi blank
true,bi0 channel is ready for an expansion
true,the constellation BLANK is looking at you with compassion
true,some constellations are greatly impressed by your performance
true,your purple flag has evolved into a black flag
false,nnonkilling
true,the constellation blank forgives your sins
true,the BLANK has begun
true,all stats will explosively increase for 0 minutes
true,magic power enhancing ampoule
true,the constellation BLANK scoffs at the historicalgrade constellations
false,do you want to enter the hidden chapter the big dipper
false,what is your identity
false,but you a human wants to challenge the owner of this thing
true,some constellations have left the channel
true,you have occupied anguk station
false,honestly it is just due to the influence of the maker he is a powerful constellation
true,the constellation blank nods at your choice
true,constellations have entered
false,how many times do i have to be called to the bureau because of you
true,activation time three minutes
true,all constellations in the channel feel intense joy
